service_id,date,exception_type
H  01LP200_101001,20260715,1
H  01SP103_101001,20260711,1
H  02FP103_101002,20260712,1
H  02LP202_101002,20260709,1
H  02LP202_101002,20260710,1
H  02LP202_101002,20260713,1
H  02LP202_101002,20260714,1
H  02LP202_101002,20260715,1
H  02SP101_101002,20260711,1
H  03FP101_101003,20260712,1
H  03LP108_101003,20260709,1
H  03LP108_101003,20260710,1
H  03LP108_101003,20260713,1
H  03LP108_101003,20260714,1
H  03LP108_101003,20260715,1
H  03SP101_101003,20260711,1
H  04FP101_101004,20260712,1
H  04LP108_101004,20260709,1
H  04LP108_101004,20260710,1
H  04LP108_101004,20260713,1
H  04LP108_101004,20260714,1
H  04LP108_101004,20260715,1
H  04SP101_101004,20260711,1
H  05LP105_101005,20260709,1
H  05LP105_101005,20260710,1
H  05LP105_101005,20260713,1
H  05LP105_101005,20260714,1
H  05LP105_101005,20260715,1
H  06LP112_101006,20260709,1
H  06LP112_101006,20260710,1
H  06LP112_101006,20260713,1
H  06LP112_101006,20260714,1
H  06LP112_101006,20260715,1
H  07LP112_101007,20260709,1
H  07LP112_101007,20260710,1
H  07LP112_101007,20260713,1
H  07LP112_101007,20260714,1
H  07LP112_101007,20260715,1
H  08LPV00_101008,20260709,1
H  08LPV00_101008,20260710,1
H  08LPV00_101008,20260713,1
H  08LPV00_101008,20260714,1
H  08LPV00_101008,20260715,1
H  09LPV01_101009,20260709,1
H  09LPV01_101009,20260710,1
H  09LPV01_101009,20260713,1
H  09LPV01_101009,20260714,1
H  09LPV01_101009,20260715,1
H  10LP109_101010,20260709,1
H  10LP109_101010,20260710,1
H  10LP109_101010,20260713,1
H  10LP109_101010,20260714,1
H  10LP109_101010,20260715,1
L1101FP104_011001,20260712,1
L1101LP102_011001,20260709,1
L1101LP102_011001,20260710,1
L1101LP102_011001,20260713,1
L1101LP102_011001,20260714,1
L1101LP102_011001,20260715,1
L1101SP107_011001,20260711,1
L1102FP104_011002,20260712,1
L1102LP105_011002,20260709,1
L1102LP105_011002,20260710,1
L1102LP105_011002,20260713,1
L1102LP105_011002,20260714,1
L1102LP105_011002,20260715,1
L1102SP104_011002,20260711,1
L1103FP104_011003,20260712,1
L1103LP103_011003,20260709,1
L1103LP103_011003,20260710,1
L1103LP103_011003,20260713,1
L1103LP103_011003,20260714,1
L1103LP103_011003,20260715,1
L1103SP104_011003,20260711,1
L1104FP104_011004,20260712,1
L1104LP102_011004,20260709,1
L1104LP102_011004,20260710,1
L1104LP102_011004,20260713,1
L1104LP102_011004,20260714,1
L1104LP102_011004,20260715,1
L1104SP104_011004,20260711,1
L1105FP104_011005,20260712,1
L1105LP104_011005,20260709,1
L1105LP104_011005,20260710,1
L1105LP104_011005,20260713,1
L1105LP104_011005,20260714,1
L1105LP104_011005,20260715,1
L1105SP104_011005,20260711,1
L1201LP301_012001,20260709,1
L1201LP301_012001,20260710,1
L1201LP301_012001,20260713,1
L1201LP301_012001,20260714,1
L1201LP301_012001,20260715,1
L1201SP101_012001,20260711,1
L1202LP103_012002,20260709,1
L1202LP103_012002,20260710,1
